job_number,account,reg,recurring_line_count,rental_total,subscription_total,recurring_total
SOL-730788,ALST-0001,JP33GVGP,0,0,0,0
SOL-737553,MACS-0026,BX41BHGP,0,0,0,0
SOL-741254,AVIS-0001,LJ81FXGP,0,0,0,0
SOL-741400,AVIS-0001,LC37LYGP,0,0,0,0
SOL-746549,AVVA-0001,KY73FKGP,0,0,0,0
SOL-759415,EPSC-0002,DATA UPLOAD - MK88RHGP,0,0,0,0
SOL-762183,,WHV829GP,0,0,0,0
SOL-768816,EDGE-0019,CK30393,0,0,0,0
SOL-771005,MACS-0026,BF61FSGP,0,0,0,0
SOL-776721,TTLI-0001,PANIC INSTALLS,0,0,0,0
SOL-781197,EPSC-0001,DATA UPLOAD - KY69YNGP,0,0,0,0
SOL-781974,,CB51 - RENTAL,0,0,0,0
SOL-787902,EDGE-0019,CM01BTZN,0,0,0,0
SOL-797876,TTLI-0001,LDG422MP - LH33,0,0,0,0
SOL-809108,AVIS-0001,KW06LZGP,0,0,0,0
SOL-818354,,CHX088 - MC37JMGP,0,0,0,0
SOL-822348,EDGE-0019,CK34389,0,0,0,0
SOL-824319,,CHC042,0,0,0,0
SOL-827447,AVIS-0001,KZ35BJGP,0,0,0,0
SOL-830555,EPSC-0002,DATA UPLOAD - HY74XFGP,0,0,0,0
SOL-832186,,CHS024 - JJ01DNGP,0,0,0,0
SOL-834611,MACS-0003,BT68VJGP,0,0,0,0
SOL-847507,PRCR-0001,KVR593MP - CB07,0,0,0,0
SOL-855098,EDGE-0019,CK34389,0,0,0,0
SOL-862167,,ZGY467GP,0,0,0,0
SOL-869000,EDGE-0015,JS42MNGP ,0,0,0,0
SOL-879118,,FV95JVGP AS35,0,0,0,0
SOL-891458,EPSC-0001,HW67VCGP DATA UPLOAD,0,0,0,0
SOL-903185,AVVA-0001,LC76BFGP,0,0,0,0
SOL-905690,EDGE-0019,CK30393,0,0,0,0
SOL-908623,EDGE-0019,CK30393,0,0,0,0
SOL-911463,MACS-0026,BF61FSGP,0,0,0,0
SOL-918902,,CHX043 - KT69JSGP,0,0,0,0
SOL-922077,PRCR-0001,CAA383307,0,0,0,0
SOL-925203,EPSC-0001,DATA UPLOAD - JF68FMGP,0,0,0,0
SOL-926199,,ZVN779GP,0,0,0,0
SOL-928170,HITA-0001,MS53LYGP,0,0,0,0
SOL-940716,AVVA-0001,KY33FDGP,0,0,0,0
SOL-944192,,HCM003 - KW22TNGP,0,0,0,0
SOL-952136,,DD53DXGP,0,0,0,0
SOL-955597,,CY76597 - T292,0,0,0,0
SOL-960994,AVIS-0001,LJ75LRGP,0,0,0,0
SOL-981033,,CHS044 - KS15SZGP,0,0,0,0
SOL-985789,EDGE-0019,CK30393,0,0,0,0
SOL-986357,MACS-0026,BX41BHGP,0,0,0,0
SOL-989640,ANGE-0001,YMM294GP,0,0,0,0
SOL-995120,MAYS-0001,DATA UPLOAD - MAY002,0,0,0,0
