job_number,new_account_number,vehicle_registration,item_id,item_name,item_description,item_code,code,type,category,qty,quantity,rental_price,subscription_price,rental_gross,subscription_gross,invoice_number,customer_name
SOL-738912,MNFU-0001,ML51ZVGP,c1180e2f-171a-4a4b-9855-4749a3465070,Sky-Can,Canbus integration,,,MODULE,MODULE,1,1,53,0,53,0,,
SOL-738912,MNFU-0001,ML51ZVGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,31,89,31,89,,
SOL-738912,MNFU-0001,ML51ZVGP,044258a0-58dd-4a9d-b9a1-06ec3cac4303,Fuel Probe Dual Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,658,22,658,22,,
SOL-738912,MNFU-0001,ML51ZVGP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,226,299,226,299,,
SOL-738912,MNFU-0001,ML51ZVGP,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
SOL-250018,EDGE-0008,TEMP007102,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-625531,ALST-0001,CH835877,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-625531,ALST-0001,CH835877,aa0988dc-6462-4767-a6ce-a9e2ef053206,Fuel Probe Single Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,0,22,0,22,,
SOL-625531,ALST-0001,CH835877,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-625531,ALST-0001,CH835877,6e6a2bf1-8197-4da0-af49-2a6f6cceff3e,Management and Consultant,Management and Consultant,,,SERVICES,SERVICES,1,1,0,75,0,75,,
SOL-625531,ALST-0001,CH835877,be2c3aaa-76be-48ff-a001-bc77c1bf312c,After Hours Maintenance,After Hours Maintanance - Optional,,,SERVICES,SERVICES,1,1,0,55,0,55,,
SOL-171883,ALST-0001,CH835579,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-171883,ALST-0001,CH835579,aa0988dc-6462-4767-a6ce-a9e2ef053206,Fuel Probe Single Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,0,22,0,22,,
SOL-171883,ALST-0001,CH835579,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-171883,ALST-0001,CH835579,6e6a2bf1-8197-4da0-af49-2a6f6cceff3e,Management and Consultant,Management and Consultant,,,SERVICES,SERVICES,1,1,0,75,0,75,,
SOL-171883,ALST-0001,CH835579,be2c3aaa-76be-48ff-a001-bc77c1bf312c,After Hours Maintenance,After Hours Maintanance - Optional,,,SERVICES,SERVICES,1,1,0,55,0,55,,
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,9d89891d-9075-4417-916a-7b55c1c425fb,MTX-MC401,4G DASHCAM 4CH,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,0,295,0,295,,
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,9d89891d-9075-4417-916a-7b55c1c425fb,MTX-MC401,4G DASHCAM 4CH,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,0,295,0,295,,
SOL-111660,AUMA-0001,MW25XKGP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,740.37,0,740.37,,
SOL-495571,TACI-0001,B413BOT,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-495571,TACI-0001,B413BOT,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-495571,TACI-0001,B413BOT,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
